Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6948051948051948,0.5777777777777777,0.48148148148148145,0.5252525252525253,0.8116666666666666
SVM,0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859,0.7912037037037036
Random Forest,0.7402597402597403,0.6458333333333334,0.5740740740740741,0.6078431372549019,0.8188888888888888
